,School_Name,School_District,School_Address,School_Phone_Number,Principal_FName,Principal_LName,Grades,School_Type,Super_Phone_Number,Super_FName,Super_LName
157,Colonial Elementary,Botetourt County Public Schools,"142 Murray Drive Troutville, VA 24675",540-977-6773,Tammy,Riggs,PK-5,Elementary,540-473-8263,Jonathan,Russ
158,Eagle Rock Elementary,Botetourt County Public Schools,"145 Eagles Nest Dr Eagle Rock, VA 24085",540-884-2421,Sandy,Gould,PK-5,Elementary,540-473-8263,Jonathan,Russ
159,Greenfield Elementary,Botetourt County Public Schools,"288 Etzler Rd Troutville, VA 24175",540-992-4416,Laura,O'Neil-Camp,PK-5,Elementary,540-473-8263,Jonathan,Russ
160,Troutville Elementary,Botetourt County Public Schools,"12 Barron Dr Troutville, VA 24175",540-992-1871,Steven,Anderson,PK-5,Elementary,540-473-8263,Jonathan,Russ
161,Central Academy Middle,Botetourt County Public Schools,"367 Poor Farm Rd Fincastle, VA 24090",540-473-8333,Jordan,Pinkard,6-8,Middle,540-473-8263,Jonathan,Russ
162,Read Mountain Middle,Botetourt County Public Schools,"182 Orchard Hill Dr Cloverdale, VA 24077",540-966-8655,Debbie,Harris,6-8,Middle,540-473-8263,Jonathan,Russ
163,James River High,Botetourt County Public Schools,"9906 Springwood Rd Buchanan, VA 24066",540-254-1121,Lisa,Taylor,9-12,High,540-473-8263,Jonathan,Russ
164,Lord Botetourt High,Botetourt County Public Schools,"1435 Roanoke Rd Daleville, VA 24083",540-992-1261,Beth,Mast,9-12,High,540-473-8263,Jonathan,Russ
165,Highland View Elementary,Bristol Public Schools,"1425 Eads St Bristol, VA 24201",276-821-5710,Amanda,Chitwood,PK-5,Elementary,276-821-5600,Keith,Perrigan
166,Joseph Van Pelt Elementary,Bristol Public Schools,"350 Spring Hill Terrace Bristol, VA 24201",276-821-5770,Jared,Rader,PK-5,Elementary,276-821-5600,Keith,Perrigan
167,Stonewall Jackson Elementary,Bristol Public Schools,"2045 Euclid Ave Bristol, VA 24201",276-821-5740,Joshua,Stamper,PK-5,Elementary,276-821-5600,Keith,Perrigan
168,Washington-Lee Elementary,Bristol Public Schools,"185 Washington Lee Dr Bristol, VA 24201",276-821-5800,Faith,Mabe,PK-5,Elementary,276-821-5600,Keith,Perrigan
169,Virginia Middle,Bristol Public Schools,"855 Piedmont Avenue Bristol, VA 24201",276-821-5660,Jason,Matlock,6-8,Middle,276-821-5600,Keith,Perrigan
170,Virginia High,Bristol Public Schools,"650 Long Crescent Dr Bristol, VA 24201",276-821-5858,Ronnie,Collins,9-12,High,276-821-5600,Keith,Perrigan
171,Meherrin Powellton Elementary,Brunswick County Public Schools,"11555 Dry Bread Road Lawrenceville, VA 23868",434-577-5000,Cheryl,Bowen,PK-5,Elementary,434-848-3138,Kristy,Somerville-Midgette
172,Red Oak-Sturgeon Elementary,Brunswick County Public Schools,"4081 Flatrock Road Alberta, VA 23821",434-949-7820,Mark,Harrison,PK-5,Elementary,434-848-3138,Kristy,Somerville-Midgette
173,Totaro Elementary,Brunswick County Public Schools,"19350 Christanna Highway Lawrenceville, VA 23868",434-848-3209,Terence,Wyche,PK-5,Elementary,434-848-3138,Kristy,Somerville-Midgette
174,James S. Russell Middle,Brunswick County Public Schools,"19400 Christanna Hwy Lawrenceville, VA 23868",434-848-2132,James,Fowlkes,6-8,Middle,434-848-3138,Kristy,Somerville-Midgette
175,Brunswick High,Brunswick County Public Schools,"2171 Lawrenceville Plank Rd Lawrenceville, VA 23868",434-848-2716,Ronald,Thornhill,9-12,High,434-848-3138,Kristy,Somerville-Midgette
176,Council Elementary/Middle,Buchanan County Public Schools,"7608 Helen Henderson Hwy Honaker, VA 24260",276-859-9329,Joan,Hart,PK-7,Elementary,276-935-4551,Melanie,Hibbitts
177,Hurley Elementary/Middle,Buchanan County Public Schools,"6911 Hurley Road Hurley, VA 24620",276-566-8523,Ruth,Tester,PK-7,Elementary,276-935-4551,Melanie,Hibbitts
178,Twin Valley Elementary/Middle,Buchanan County Public Schools,"9017 Riverside Drive Oakwood, VA 24631",276-498-4537,Melisa,Goodman,PK-7,Elementary,276-935-4551,Melanie,Hibbitts
179,Council High,Buchanan County Public Schools,"7802 Helen Henderson Hwy Honaker, VA 24620",276-859-2627,Kathy,Witt,8-12,High,276-935-4551,Melanie,Hibbitts
180,Grundy High,Buchanan County Public Schools,"1300 Golden Wave Drive Grundy, VA 24614",276-935-2106,Mark,Cooper,9-12,High,276-935-4551,Melanie,Hibbitts
181,Hurley High,Buchanan County Public Schools,"6339 Hurley Road Hurley, VA 24620",276-566-7642,Pam,Tester,8-12,High,276-935-4551,Melanie,Hibbitts
182,Twin Valley High,Buchanan County Public Schools,"14449 Dismal River Road Pilgrim Knob, VA 24634",276-259-7818,Chad,Stevens,8-12,High,276-935-4551,Melanie,Hibbitts
183,Riverview Elementary/Middle,Buchanan County Public Schools,"27382 Riverside Drive Grundy, VA 24614",276-935-1613,Kimberly,Hess,PK-8,Combined,276-935-4551,Melanie,Hibbitts
184,Buckingham Co Elementary,Buckingham County Public Schools,"40 Frank Harris Raod Dillwyn, VA 23936",434-505-0000,Courtney,Browning,3-5,Elementary,434-969-6100,John,Keeler
185,Buckingham Co Primary,Buckingham County Public Schools,"128 Frank Harris Road Dillwyn, VA 23936",434-505-0001,Helen,Montgomery,KG-2,Elementary,434-969-6100,John,Keeler
186,Buckingham County Middle,Buckingham County Public Schools,"1184 High School Rd. Buckingham, VA 23921",434-969-1044,Zane,Harshman,6-8,Middle,434-969-6100,John,Keeler
187,Buckingham County High,Buckingham County Public Schools,"78 Knights Rd. Buckingham, VA 23921",434-969-6160,Patti,Branch,9-12,High,434-969-6100,John,Keeler
188,Buckingham Co Prekindergarten Center,Buckingham County Public Schools,"77 Buckingham Primary School Rd Buckingham, VA 23921",434-969-4490,Patti,Branch,PK,Elementary,434-969-6100,John,Keeler
189,Enderly Heights Elementary,Buena Vista Public Schools,"101 Woodland Ave Buena Vista, VA 24416",540-261-6151,Devan,Nicely,3-5,Elementary,540-261-2129,Tony,Francis
190,F.W. Kling Jr. Elementary,Buena Vista Public Schools,"3400 Lombardy Ave Buena Vista, VA 24416",540-261-6717,Lisa,Clark,PK-2,Elementary,540-261-2129,Tony,Francis
191,Parry McCluer Middle,Buena Vista Public Schools,"2329 Chestnut Ave Buena Vista, VA 24416",540-261-7340,Debbie,Gilbert,6-7,Elementary,540-261-2129,Tony,Francis
192,Parry McCluer High,Buena Vista Public Schools,"100 Bradford Drive Buena Vista, VA 24416",540-261-2127,Todd,Jones,8-12,High,540-261-2129,Tony,Francis
193,Altavista Elementary,Campbell County Public Schools,"1003 Lynch Mill Rd Altavista, VA 24517-1028",434-369-5665,Wendy,Thomas,PK-5,Elementary,434-332-3458,Robert,Johnson
194,Brookneal Elementary,Campbell County Public Schools,"133 Charlotte St. Brookneal, VA 24528",434-376-2042,Keith,Bennett,PK-5,Elementary,434-332-3458,Robert,Johnson
195,Concord Elementary,Campbell County Public Schools,"9339 Village Hwy Concord, VA 24538",434-993-2257,Whitney,Rinella,PK-5,Elementary,434-332-3458,Robert,Johnson
196,Leesville Road Elementary,Campbell County Public Schools,"25 Lewis Way Lynchburg, VA 24502",434-239-0303,Joel,Slater,PK-5,Elementary,434-332-3458,Robert,Johnson
197,Rustburg Elementary,Campbell County Public Schools,"201 Village Hwy Rustburg, VA 24588",434-332-5215,Vicky,White,PK-5,Elementary,434-332-3458,Robert,Johnson
198,Tomahawk Elementary,Campbell County Public Schools,"155 Bee Drive Lynchburg, VA 24502",434-237-4090,Toby,Ackerman,PK-5,Elementary,434-332-3458,Robert,Johnson
199,Yellow Branch Elementary,Campbell County Public Schools,"377 Dennis Riddle Dr Rustburg, VA 24588",434-821-1021,Betsy,Brown,PK-5,Elementary,434-332-3458,Robert,Johnson
200,Brookville Middle,Campbell County Public Schools,"320 Bee Dr Lynchburg, VA 24502",434-239-9267,Edwin,Martin,6-8,Middle,434-332-3458,Robert,Johnson
201,Rustburg Middle,Campbell County Public Schools,"555 Village Highway Rustburg, VA 24588",434-332-5141,Christie,Cundiff,6-8,Middle,434-332-3458,Robert,Johnson
202,Brookville High,Campbell County Public Schools,"100 Laxton Rd Lynchburg, VA 24502",434-239-2636,Christie,Cundiff,9-12,High,434-332-3458,Robert,Johnson
203,Rustburg High,Campbell County Public Schools,"1671 Village Hwy Rustburg, VA 24588",434-332-5171,Brantley,Shields,9-12,High,434-332-3458,Robert,Johnson
204,Altavista High,Campbell County Public Schools,"904 Bedford Avenue Altavista, VA 24517",434-369-4768,Ronald,Proffitt,6-12,Combined,434-332-3458,Robert,Johnson
205,William Campbell High,Campbell County Public Schools,"474 William Campbell Dr Naruna, VA 24576",434-376-2015,Dabney,Hanson,6-12,Combined,434-332-3458,Robert,Johnson
206,Bowling Green Elementary,Caroline County Public Schools,"17502 New Baltimore Road Milford, VA 22514",804-596-2391,Cynthia,Heckstall,PK-5,Elementary,804-633-5088,Sarah,Calveric
207,Lewis and Clark Elementary,Caroline County Public Schools,"18101 Clark & York Blvd Ruther Glen, VA 22546",804-448-0175,Cynthia,Brown,PK-5,Elementary,804-633-5088,Sarah,Calveric
208,Madison Elementary,Caroline County Public Schools,"9075 Chance Place Ruther Glen, VA 22546",804-448-2171,Teresa,Hicks,PK-5,Elementary,804-633-5088,Sarah,Calveric
209,Caroline Middle,Caroline County Public Schools,"13325 Devils Three Jump Road Milford, VA 22514",804-633-6561,Corinne,Griggs,6-8,Middle,804-633-5088,Sarah,Calveric
210,Caroline High,Caroline County Public Schools,"19155 Rodgers Clark Blvd Milford, VA 22514",804-633-9886,Joshua,Just,9-12,High,804-633-5088,Sarah,Calveric
211,Fancy Gap Elementary,Carroll County Public Schools,"63 Winding Ridge Rd Fancy Gap, VA 24328",276-728-7504,Carrie,Davis,PK-5,Elementary,276-730-3200,Mark,Burnette
212,Gladesboro Elementary,Carroll County Public Schools,"7845 Snake Creek Hillsville, VA 24343",276-398-2493,Ryan,Newberry,PK-5,Elementary,276-730-3200,Mark,Burnette
213,Gladeville Elementary,Carroll County Public Schools,"3117 Glendale Rd Galax, VA 24333",276-236-5449,Teresa,Martin,PK-5,Elementary,276-730-3200,Mark,Burnette
214,Hillsville Elementary,Carroll County Public Schools,"90 Patriot Lane Hillsville, VA 24343",276-728-7312,Samantha,Reed,PK-5,Elementary,276-730-3200,Mark,Burnette
215,Laurel Elementary,Carroll County Public Schools,"26 Pleasant View Road Austinville, VA 24312",276-728-9247,Jennifer,Martin,PK-5,Elementary,276-730-3200,Mark,Burnette
216,Oakland Elementary,Carroll County Public Schools,"4930 Pipers Gap Road Galax, VA 24333",276-236-3049,Larry,Williams,PK-5,Elementary,276-730-3200,Mark,Burnette
217,St. Paul,Carroll County Public Schools,"231 Flower Gap Road Cana, VA 24317",276-755-3512,Leonard Alvin,Davidson,PK-7,Elementary,276-730-3200,Mark,Burnette
218,Carroll County Middle,Carroll County Public Schools,"1036 N. Main Street Hillsville, VA 24343",276-728-4211,Dana,Burnette,6-8,Middle,276-730-3200,Mark,Burnette
219,Carroll County High,Carroll County Public Schools,"100 Cavs Lane Hillsville, VA 24343",276-728-2125,Charles,Thompson,9-12,High,276-730-3200,Mark,Burnette
220,Charles City County Elementary,Charles City County Public Schools,"10049 Courthouse Rd Charles City, VA 23030-3440",804-829-9256,Edward Van,Dyke,PK-6,Elementary,804-652-4612,Dalphine,Joppy
221,Charles City County High,Charles City County Public Schools,"10039 Courthouse Rd Charles City, VA 23030-3440",804-829-9249,Anita,Harper,7-12,Combined,804-652-4612,Dalphine,Joppy
222,Bacon District Elementary,Charlotte County Public Schools,"840 Bacon School Rd Saxe, VA 23967",434-542-9507,William,Pettus,PK-5,Elementary,434-542-5151,Robbie,Mason
223,Eureka Elementary,Charlotte County Public Schools,"315 Eureka School Rd Keysville, VA 23947",434-736-8458,Brian,Hamilton,PK-5,Elementary,434-542-5151,Robbie,Mason
224,Phenix Elementary,Charlotte County Public Schools,"400 Red House Road Phenix, VA 23959",434-542-5570,Daniel,Richardson,PK-5,Elementary,434-542-5151,Robbie,Mason
225,Central Middle,Charlotte County Public Schools,"250 Statesman Drive Charlotte Court House, VA 23923",434-542-4536,Jessica,Pillow,6-8,Middle,434-542-5151,Robbie,Mason
226,Randolph-Henry High,Charlotte County Public Schools,"755 David Bruce Ave Charlotte C H, VA 23923",434-542-4111,Erin,Davis,9-12,High,434-542-5151,Robbie,Mason
227,Burnley-Moran Elementary,Charlottesville Public Schools,"1300 Long Street Charlottesville, VA 22901-4936",434-245-2413,Elizabeth,Korab,PK-4,Elementary,434-245-2400,Royal,Gurley
228,Clark Elementary,Charlottesville Public Schools,"1000 Belmont Avenue Charlottesville, VA 22902-5908",434-245-2414,Carmella,Johnson,PK-4,Elementary,434-245-2400,Royal,Gurley
229,Greenbrier Elementary,Charlottesville Public Schools,"2228 Greenbrier Drive Charlottesville, VA 22901-2918",434-245-2415,Dina,Fricke,PK-4,Elementary,434-245-2400,Royal,Gurley
230,Jackson-Via Elementary,Charlottesville Public Schools,"508 Harris Road Charlottesville, VA 22903-4322",434-245-2416,Justin,Malone,PK-4,Elementary,434-245-2400,Royal,Gurley
231,Johnson Elementary,Charlottesville Public Schools,"1645 Cherry Avenue Charlottesville, VA 22903-3704",434-245-2417,Summerlyn,Thompson,PK-4,Elementary,434-245-2400,Royal,Gurley
232,Venable Elementary,Charlottesville Public Schools,"406 14th Street NW Charlottesville, VA 22903-2305",434-245-2418,Chantel,Beverly,PK-4,Elementary,434-245-2400,Royal,Gurley
233,Walker Upper Elementary,Charlottesville Public Schools,"1564 Dairy Road Charlottesville, VA 22903-1304",434-245-2412,Adam,Hastings,5-6,Elementary,434-245-2400,Royal,Gurley
234,Buford Middle,Charlottesville Public Schools,"1000 Cherry Avenue Charlottesville, VA 22903-3852",434-245-2411,Rodney,Jordan,7-8,Middle,434-245-2400,Royal,Gurley
235,Charlottesville High,Charlottesville Public Schools,"1400 Melbourne Road Charlottesville, VA 22901-3148",434-245-2410,Rashaad,Pitt,9-12,High,434-245-2400,Royal,Gurley
236,B.M. Williams Primary,Chesapeake Public Schools,"1100 Battlefield Blvd N Chesapeake, VA 23320",757-547-0238,Brighid,Gates,PK-2,Elementary,757-547-0153,Jared,Cotton
237,Butts Road Intermediate,Chesapeake Public Schools,"1571 Mt Pleasant Rd Chesapeake, VA 23322",757-482-4566,Chad,Foltz,3-5,Elementary,757-547-0153,Jared,Cotton
238,Butts Road Primary,Chesapeake Public Schools,"1000 Mt Pleasant Rd Chesapeake, VA 23322",757-482-5820,Kathryn,Galford,PK-2,Elementary,757-547-0153,Jared,Cotton
239,Camelot Elementary,Chesapeake Public Schools,"2901 Guenevere Dr Chesapeake, VA 23323",757-558-5347,Robert,Sander,PK-5,Elementary,757-547-0153,Jared,Cotton
240,Cedar Road Elementary,Chesapeake Public Schools,"1605 Cedar Rd Chesapeake, VA 23322",757-547-0166,Susan,Page,PK-5,Elementary,757-547-0153,Jared,Cotton
241,Crestwood Intermediate,Chesapeake Public Schools,"1240 Great Bridge Blvd Chesapeake, VA 23320",757-494-7565,Mattie,Gould,3-5,Elementary,757-547-0153,Jared,Cotton
242,Deep Creek Central Elementary,Chesapeake Public Schools,"2448 Shipyard Rd Chesapeake, VA 23323",757-558-5356,Daniel,White,PK-5,Elementary,757-547-0153,Jared,Cotton
243,Deep Creek Elementary,Chesapeake Public Schools,"2809 Forehand Dr Chesapeake, VA 23323",757-558-5333,Michelle,Ferebee,PK-5,Elementary,757-547-0153,Jared,Cotton
244,Edwin W. Chittum Elementary,Chesapeake Public Schools,"2008 Dock Landing Rd Chesapeake, VA 23321",757-465-6300,Bridget,Outlaw,PK-5,Elementary,757-547-0153,Jared,Cotton
245,G.A. Treakle Elementary,Chesapeake Public Schools,"2500 Gilmerton Rd Chesapeake, VA 23323",757-558-5361,Felecia,Gray-Frazier,PK-5,Elementary,757-547-0153,Jared,Cotton
246,George W. Carver Intermediate,Chesapeake Public Schools,"2601 Broad St Chesapeake, VA 23324",757-494-7505,Leigha,Canterbury,3-5,Elementary,757-547-0153,Jared,Cotton
247,Georgetown Primary,Chesapeake Public Schools,"436 Providence Rd Chesapeake, VA 23325",757-578-7060,Pamela,Laster,PK-3,Elementary,757-547-0153,Jared,Cotton
248,Grassfield Elementary,Chesapeake Public Schools,"2248 Averill Dr. Chesapeake, VA 23323",757-558-8923,Michael,Ottley,PK-5,Elementary,757-547-0153,Jared,Cotton
249,Great Bridge Intermediate,Chesapeake Public Schools,"253 West Hanbury Rd Chesapeake, VA 23322",757-482-4405,Tracey,Sabbato,3-5,Elementary,757-547-0153,Jared,Cotton
250,Great Bridge Primary,Chesapeake Public Schools,"408 Cedar Rd Chesapeake, VA 23322",757-547-1135,Theresa,Myers,PK-2,Elementary,757-547-0153,Jared,Cotton
251,Greenbrier Intermediate,Chesapeake Public Schools,"1701 River Birch Run N Chesapeake, VA 23320",757-578-7080,David,Richels,3-5,Elementary,757-547-0153,Jared,Cotton
252,Greenbrier Primary,Chesapeake Public Schools,"1551 Eden Way South Chesapeake, VA 23320",757-436-3428,Kimberly,Lowden,PK-2,Elementary,757-547-0153,Jared,Cotton
253,Hickory Elementary,Chesapeake Public Schools,"109 Benefit Road Chesapeake, VA 23322",757-421-7080,James,Lewter,PK-5,Elementary,757-547-0153,Jared,Cotton
254,Norfolk Highlands Primary,Chesapeake Public Schools,"1115 Myrtle Ave Chesapeake, VA 23325",757-578-7092,James,Lewter,PK-3,Elementary,757-547-0153,Jared,Cotton
255,Portlock Primary,Chesapeake Public Schools,"1857 Varsity Dr Chesapeake, VA 23324",757-494-7555,Heather,Brusso,PK-2,Elementary,757-547-0153,Jared,Cotton
256,Rena B. Wright Primary,Chesapeake Public Schools,"600 Park Ave Chesapeake, VA 23324",757-494-7585,Shawnia,Smiley,PK-2,Elementary,757-547-0153,Jared,Cotton
257,Southeastern Elementary,Chesapeake Public Schools,"1853 Battlefield Blvd S Chesapeake, VA 23322",757-421-7676,Melissa,Fuller,PK-5,Elementary,757-547-0153,Jared,Cotton
258,Southwestern Elementary,Chesapeake Public Schools,"4410 Airline Blvd Chesapeake, VA 23321",757-465-6310,Tiffany,Johnson,PK-5,Elementary,757-547-0153,Jared,Cotton
259,Sparrow Road Intermediate,Chesapeake Public Schools,"1605 Sparrow Rd Chesapeake, VA 23325",757-578-7050,Sharon,Popson,4-5,Elementary,757-547-0153,Jared,Cotton
260,Thurgood Marshall Elementary,Chesapeake Public Schools,"2706 Border Road Chesapeake, VA 23324",757-494-7515,Andrenette,Ingram,PK-5,Elementary,757-547-0153,Jared,Cotton
261,Truitt Intermediate,Chesapeake Public Schools,"1100 Holly Ave Chesapeake, VA 23324",757-494-8014,Elizabeth,Haskins,3-5,Elementary,757-547-0153,Jared,Cotton
262,Western Branch Intermediate,Chesapeake Public Schools,"4013 Terry Dr Chesapeake, VA 23321",757-638-7941,Craig,Daniel,3-5,Elementary,757-547-0153,Jared,Cotton
263,Western Branch Primary,Chesapeake Public Schools,"4122 Terry Dr Chesapeake, VA 23321",757-638-7951,Sonya,Beasley,PK-2,Elementary,757-547-0153,Jared,Cotton
264,Crestwood Middle,Chesapeake Public Schools,"1420 Great Bridge Blvd Chesapeake, VA 23320",757-494-7560,Barry,Brown,6-8,Middle,757-547-0153,Jared,Cotton
265,Deep Creek Middle,Chesapeake Public Schools,"1955 Deal Dr Chesapeake, VA 23323",757-558-5321,John,Cavanaugh,6-8,Middle,757-547-0153,Jared,Cotton
266,Great Bridge Middle,Chesapeake Public Schools,"441 Battlefield Blvd S Chesapeake, VA 23322",757-482-5128,Heather,Martin,6-8,Middle,757-547-0153,Jared,Cotton
267,Greenbrier Middle,Chesapeake Public Schools,"1016 Greenbrier Pkwy Chesapeake, VA 23320",757-548-5309,Keith,Hyater,6-8,Middle,757-547-0153,Jared,Cotton
268,Hickory Middle,Chesapeake Public Schools,"1997 Hawk Blvd Chesapeake, VA 23322",757-421-0468,Kimberly,Pinello,6-8,Middle,757-547-0153,Jared,Cotton
